nom_zone,region
" Pied de St Michel ubac vers ""lendigouse""",Alpes du Sud
 Vals,Massif Central
 rnrpartias,Alpes du Sud
(H),Alpes du Nord
1,Alpes du Nord
10rue des tourrigueilles ,Pyrenees
138 c route de la croix,Alpes du Sud
2,Alpes du Nord
2D,Pyrenees
3,Alpes du Nord
5 Pons,Massif Central
AGORA,Pyrenees
ALOE,Massif Central
ARBAS - Pays de l'ours,Pyrenees
ARTAUD,Massif Central
AUTEYRAC,Massif Central
Abondance,Alpes du Nord
Adroit,Alpes du Sud
Albergue Villanova,Pyrenees
Alery,Alpes du Nord
Allevard,Alpes du Nord
Alpuech,Massif Central
Amédée,Alpes du Sud
Annecy le vieux,Alpes du Nord
Annecy-le-Vieux,Alpes du Nord
Anse,Other
Anton Duño Esteve,Pyrenees
Arcine,Alpes du Nord
Ardigna le hangar,Other
Arro Juanita,Pyrenees
Artaud Claude,Massif Central
At home,Alpes du Sud
Au pied du Mont Blanc,Mont-Blanc
Au sud de Grazac,Massif Central
Au-dessus de Saint-Sauveur,Pyrenees
Aurillac,Massif Central
Auritz,Pyrenees
Aurizberriko eskola,Pyrenees
Autour de la maison,Alpes du Sud
Aux Combes,Jura
Aymavilles nati 2014,Alpes du Nord
Aymavilles nati 2015,Alpes du Nord
Ayères (ex raisin),Mont-Blanc
B@xs64,Other
BADOIL,Massif Central
BAGERGUE,Pyrenees
BAJADA CAMPO DE FUTBOL,Pyrenees
BUL,Other
Baiet,Other
Barran,Other
Beau Reveil Forest,Alpes du Nord
Beauregard,Massif Central
Beauvaleix,Massif Central
Belle Epoque,Alpes du Nord
Bellevarde,Mont-Blanc
Bellissens,Pyrenees
Bogève,Alpes du Nord
Bois Perché,Pyrenees
Bois chantemerle ,Alpes du Nord
Bois d'Hatier,Massif Central
Bois de Colombé,Alpes du Nord
Bois de l'Envers,Alpes du Nord
Bois de ville 2  Thonon,Alpes du Nord
Bois de ville Thonon,Alpes du Nord
Bois des Sallis,Massif Central
Bolis,Alpes du Sud
Bord Durance,Alpes du Sud
"Bord de l'Arget (rue des Moulins, Foix)",Pyrenees
Bouchet,Alpes du Nord
Bourg_Stmo,Alpes du Nord
Bout du Lac,Alpes du Nord
Broussoux,Massif Central
Brugot Didier,Alpes du Sud
Bussiéras,Massif Central
CANILLO,Pyrenees
CHAVAROT,Massif Central
CHOSSON,Massif Central
CIN Roncal,Pyrenees
COLLEGE BLANCHE ODIN,Pyrenees
COUDERTS,Massif Central
CPIE Vallon du Salut,Pyrenees
CPIE du Velay,Massif Central
CREA_garralda,Pyrenees
Cachette,Alpes du Nord
Cadayrac,Massif Central
Cal Camps,Pyrenees
CalandretaLys,Pyrenees
Camille Marin,Vosges
Camin Casau,Pyrenees
Campelles,Pyrenees
Camí del Pas del coro,Pyrenees
Camí del Solà,Pyrenees
Cas,Massif Central
Castell de Montesquiu,Pyrenees
Caucalis,Pyrenees
Centre d'affaires Valberg,Alpes du Sud
Chalet à Gobet,Alpes du Nord
Champoléon: Le Clapier,Alpes du Sud
Champoléon: les Gondoins,Alpes du Sud
Chavanod - école publique,Alpes du Nord
Chemin de la crête,Pyrenees
Chemin du Maquis (Montfort),Mont-Blanc
Chemin du Pont Perroud,Jura
Chevenoz Les Combes,Alpes du Nord
Chevril - PNV,Alpes du Nord
Chez-rey,Alpes du Nord
Col de Malpas,Alpes du Sud
Col des Montets,Mont-Blanc
Colloc 2017-2018,Other
Colombé,Alpes du Nord
Col·legi Janer,Pyrenees
Col·legi Sant Ermengol,Pyrenees
Col·legi_SAFA_Escaldes,Pyrenees
Combe Gonnet,Alpes du Nord
Conros,Massif Central
Corteydreux,Massif Central
Corteydreux ,Massif Central
Cot de bech,Pyrenees
Coucou Nature pour Phenoclim,Pyrenees
Cour Ecole Caminando (Menglon),Alpes du Sud
Creagire,Pyrenees
Croix du Perthuis,Massif Central
Cugnon (ex Rose),Mont-Blanc
Cumba clava - les Launes,Alpes du Sud
Cécile Gissinger,Mont-Blanc
DAG,Alpes du Nord
DBHI Otsagabia,Pyrenees
Delahaye Anne,Alpes du Nord
Delta de la Dranse,Alpes du Nord
Devineau,Alpes du Nord
Digonnière,Massif Central
Diosaz_Servoz,Mont-Blanc
Domicile,Alpes du Nord
Domicile particulier,Alpes du Nord
Dominique schott,Pyrenees
Douvaine,Alpes du Nord
Durban,Pyrenees
Dély Bruno,Massif Central
ECOLE,Alpes du Sud
ENTRAIGUES,Alpes du Nord
Echenevex NO,Jura
Ecole Jacques Balmat,Mont-Blanc
Ecole Libre,Pyrenees
Ecole Primaire Française de Santa Coloma,Pyrenees
Ecole d'ARAGNOUET,Pyrenees
Ecole de Bilhères,Pyrenees
Ecole de Fos,Pyrenees
Ecole de Pujo,Other
Ecole de Rouède,Pyrenees
Ecole maternelle de SIRADAN,Pyrenees
Ecole primaire de LESPONNE,Pyrenees
Encamp - Carrer dels Avellaners,Pyrenees
Encamp - riu Aixec,Pyrenees
"Enclar (S5, BMS)",Pyrenees
Ensalers,Massif Central
Entorno de Beorburu,Pyrenees
Era Solana de Betren,Pyrenees
Erronkari / Roncal,Pyrenees
Es Bòrdes,Pyrenees
Escola Andorrana de segona ensenyança d'Ordino,Pyrenees
Escola Ridolaina,Pyrenees
Escòla Castèth-Leon Es Bòrdes,Pyrenees
Escòla Loseron,Pyrenees
FM,Other
Farga_de_mantet,Pyrenees
Faucille,Jura
Feigères,Alpes du Nord
Ferme des délices,Alpes du Nord
Fiernaz,Alpes du Nord
Flanc du Mont Jean,Vosges
Florise Ordronneau,Pyrenees
Font_de_les_soques,Pyrenees
Fontanettes,Jura
Foret autour de l'école ,Pyrenees
Forêt du Bouchet-Mont-Charvin,Alpes du Nord
Four Solaire Odeillo,Pyrenees
France GALLY,Alpes du Sud
Fécamp,Massif Central
GAEC de l'Arbre,Alpes du Sud
GARDE,Pyrenees
Garcia Gouard,Pyrenees
Garde,Pyrenees
Garenne,Other
Garralda,Pyrenees
Gattinara,Alpes du Nord
Gendarmerie,Alpes du Nord
Gessa,Pyrenees
Groissiat ,Jura
Haie chemin du facteur,Alpes du Nord
Hauquin,Massif Central
Hauteville,Jura
Hervé DUVAL,Other
Home,Alpes du Nord
Hortus Punkus,Massif Central
IME Saint Michel de Biscaye,Pyrenees
Impasse de moïse ,Other
Internat,Alpes du Sud
Isaba,Pyrenees
Isavarre,Pyrenees
JARDIN ,Vosges
JP Malichier,Massif Central
Jaca_de_alemany,Pyrenees
Jardin,Alpes du Nord
Jardin Botanique,Alpes du Nord
Jardin Caroline Vo,Alpes du Nord
Jardin Loutraz,Alpes du Nord
Jardin Ouroboros,Massif Central
Jardin Rouffiac,Massif Central
